ctl,aa,ca
K12527,K12527,K12527
K01199,K01199,K01199
K01452,K01452,K01452
K11695,K11695,K11695
K01434,K01525,K01434
K11195,K03382,K01525
K01525,K01112,K03382
K03382,K05601,K01112
K01112,K04032,K05601
K05601,K02749,K04039
K04032,K04091,K04032
K10852,K01205,K10852
K02749,K12528,K02749
K04091,K01210,K04091
K01205,K09187,K01205
K12528,K01130,K12528
K01210,K02745,K01210
K09187,K10679,K01130
K01130,K07309,K02745
K02745,K02813,K10679
K10679,K08312,K07309
K07309,K01442,K02813
K02813,K02752,K01469
K01469,K02815,K08312
K08312,K02744,K02815
K02815,K01183,K01442
K01442,K11694,K02752
K02752,K03383,K02744
K02744,K05780,K01183
K01183,K12529,K11694
K11694,K02814,K03383
K03383,K07310,K05780
K05780,K01455,K02814
K02814,K10678,K12529
K12529,K13381,K07310
K07310,K13566,K01455
K01455,K02750,K10678
K10678,K11693,K13381
K13381,K10680,K13566
K13566,K06165,K08092
K02750,K00887,K02750
K11422,K01565,K11693
K11693,K01044,K10680
K10680,K01500,K06165
K06165,K13747,K01186
K01565,K03857,K04037
K01044,K10984,K01565
K01500,K01515,K01044
K13747,K11192,K01500
K10984,K01813,K13747
K11192,K01818,K10984
K01515,K05396,K03857
K01813,K12308,K11192
K12355,K03927,K01515
K01818,K08261,K01813
K05396,K02812,K12355
K12308,K04720,K01818
K03927,K02753,K05396
K08261,K10532,K12308
K02812,K01259,K03927
K04720,K10986,K08261
K01253,K05305,K02812
K02753,K08710,K04720
K10532,K02747,K00637
K01259,K10985,K01253
K10986,K01119,K10532
K05305,K02746,K02753
K08710,K05394,K01259
K02747,K11191,K10986
K01467,K03332,K05305
K01771,K02771,K08710
K10985,K06164,K02747
K01119,K06166,K01134
K02746,K11196,K01467
K05394,,K01119
K11191,,K10985
K03332,,K02746
K02771,,K05394
K06164,,K11191
K06166,,K11429
K11196,,K03332
,,K02771
,,K06164
,,K06166
,,K11196