ID,High_c
K01954,2.3862E-07
K02489,2.82018E-07
K11681,3.2841E-07
K00143,3.44082E-07
K05914,3.47528E-07
K01229,3.65039E-07
K04788,4.13251E-07
K14162,4.21545E-07
K00256,4.22447E-07
K00870,4.25954E-07
K14201,4.69475E-07
K14195,4.74658E-07
K05185,4.88464E-07
K12202,4.90232E-07
K11665,4.99402E-07
K13611,5.04237E-07
K12678,5.07915E-07
K13830,5.17645E-07
K11127,5.22596E-07
K08740,5.44634E-07
K12443,5.54824E-07
K00209,5.62305E-07
K10817,5.62305E-07
K10902,5.94207E-07
K02223,6.33251E-07
K11356,6.73587E-07
K13797,6.93665E-07
K02545,7.16751E-07
K08643,7.24623E-07
K12823,7.2536E-07
K08344,7.29082E-07
K01410,7.29082E-07
K05565,7.31845E-07
K05853,7.44432E-07
K01121,7.51499E-07
K14086,7.53651E-07
K11293,7.87646E-07
K02817,7.99492E-07
K12953,8.11908E-07
K06044,8.13754E-07
K13040,8.46985E-07
K08295,8.88031E-07
K12217,8.98008E-07
K13178,9.06846E-07
K09461,9.17315E-07
K13541,9.42031E-07
K05587,9.43515E-07
K06307,9.43538E-07
K08741,9.45531E-07
K14358,9.56615E-07
K00875,9.576E-07
K00960,9.91969E-07
K00131,1.00435E-06
K13490,1.00516E-06
K13854,1.02133E-06
K10908,1.0238E-06
K01583,1.03005E-06
K01900,1.03445E-06
K03483,1.04075E-06
K11199,1.04131E-06
K11200,1.04131E-06
K11198,1.04131E-06
K01204,1.04339E-06
K12530,1.06488E-06
K00827,1.0671E-06
K11734,1.07115E-06
K00154,1.07379E-06
K13796,1.07831E-06
K14083,1.08058E-06
K14447,1.09341E-06
K08166,1.0944E-06
K04880,1.09858E-06
K12531,1.09892E-06
K11285,1.10508E-06
K02592,1.11339E-06
K02240,1.12872E-06
K03894,1.14963E-06
K05841,1.15022E-06
K00119,1.15602E-06
K10715,1.15879E-06
K11180,1.17454E-06
K01930,1.19996E-06
K02615,1.20472E-06
K11407,1.22766E-06
K10598,1.23492E-06
K13116,1.25892E-06
K01641,1.26133E-06
K07168,1.28318E-06
K13688,1.2892E-06
K00480,1.29943E-06
K00481,1.30272E-06
K13967,1.3051E-06
K10843,1.3168E-06
K00317,1.31947E-06
K08773,1.326E-06
K10235,1.33083E-06
K06139,1.34365E-06
K08656,1.34422E-06
K01535,1.36222E-06
K07654,1.36322E-06
K13285,1.3635E-06
K11781,1.36509E-06
K10195,1.36873E-06
K11779,1.37325E-06
K00934,1.38422E-06
K00354,1.38722E-06
K10191,1.42181E-06
K03219,1.42602E-06
K01115,1.42854E-06
K10407,1.4351E-06
K05324,1.45342E-06
K02352,1.46232E-06
K07649,1.46405E-06
K10830,1.47642E-06
K07280,1.4991E-06
K05327,1.49964E-06
K01702,1.50932E-06
K12454,1.51408E-06
K10978,1.51408E-06
K13884,1.51603E-06
K11081,1.52306E-06
K00309,1.52942E-06
K05566,1.53675E-06
K04780,1.53811E-06
K01361,1.54781E-06
K14286,1.55722E-06
K04109,1.58418E-06
K13503,1.59352E-06
K12681,1.59387E-06
K05663,1.59796E-06
K14063,1.60398E-06
K13177,1.60548E-06
K06436,1.61031E-06
K06994,1.61666E-06
K01896,1.6175E-06
K01434,1.61981E-06
K01431,1.62005E-06
K10202,1.62656E-06
K09478,1.6275E-06
K12658,1.62943E-06
K10821,1.6363E-06
K01455,1.64511E-06
K08100,1.65348E-06
K00601,1.65442E-06
K02280,1.65996E-06
K14057,1.66647E-06
K05546,1.67571E-06
K00423,1.67738E-06
K00822,1.68485E-06
K03339,1.70102E-06
K11162,1.70102E-06
K02205,1.70308E-06
K12218,1.70442E-06
K07653,1.71048E-06
K13093,1.71295E-06
K12979,1.71664E-06
K12146,1.72297E-06
K00692,1.72928E-06
K00825,1.76222E-06
K11083,1.77604E-06
K05714,1.7822E-06
K10858,1.78969E-06
K12203,1.79366E-06
K13287,1.80079E-06
K14159,1.82135E-06
K13730,1.83684E-06
K13025,1.84154E-06
K02840,1.85685E-06
K08714,1.86521E-06
K00118,1.87207E-06
K01796,1.88403E-06
K01180,0.000001898
K01055,1.9152E-06
K03795,1.91719E-06
K03277,1.91926E-06
K12228,1.92465E-06
K05962,1.92684E-06
K09023,1.9296E-06
K05597,1.93007E-06
K11442,1.93175E-06
K11082,1.93688E-06
K08256,1.94385E-06
K11139,1.95208E-06
K01225,1.95934E-06
K14164,1.96357E-06
K14123,1.96463E-06
K00235,1.96656E-06
K01913,1.97099E-06
K05613,1.97386E-06
K01502,1.97457E-06
K12460,1.9784E-06
K01575,1.98175E-06
K08955,2.00208E-06
K00150,2.00344E-06
K05949,2.01133E-06
K06137,2.01285E-06
K07057,2.01749E-06
K12736,2.02214E-06
K12206,2.02715E-06
K10116,2.06228E-06
K02611,2.06965E-06
K04058,2.07855E-06
K08357,2.09038E-06
K05773,2.0913E-06
K07395,0.000002095
K12213,2.09535E-06
K12536,2.10266E-06
K01829,2.12097E-06
K00039,2.12097E-06
K13950,2.1269E-06
K00713,2.12778E-06
K14327,2.14141E-06
K10020,2.14759E-06
K11787,2.15171E-06
K03492,2.15661E-06
K01427,2.15819E-06
K13829,2.16095E-06
K00138,2.16095E-06
K03392,2.16828E-06
K08566,2.19608E-06
K06900,2.19608E-06
K08170,2.22196E-06
K05549,2.24636E-06
K00450,2.24649E-06
K12268,2.24805E-06
K00523,2.27775E-06
K07006,2.28122E-06
K00908,2.28487E-06
K02059,2.28727E-06
K02242,2.31205E-06
K00437,2.36282E-06
K04099,2.37229E-06
K00470,2.38738E-06
K06286,2.4011E-06
K08777,2.40514E-06
K12240,2.42559E-06
K12585,2.43207E-06
K12444,2.44826E-06
K06954,2.44999E-06
K07222,2.45012E-06
K10201,2.45352E-06
K02674,2.46774E-06
K11541,2.47096E-06
K12282,2.47438E-06
K07650,2.48152E-06
K06313,2.48793E-06
K00323,2.49101E-06
K13934,2.49162E-06
K13247,2.49783E-06
K11150,2.51635E-06
K12204,2.51905E-06
K07465,2.52498E-06
K02827,2.52955E-06
K08964,2.54095E-06
K07165,2.54262E-06
K02666,2.54367E-06
K11196,2.56621E-06
K09252,2.57618E-06
K01713,2.57815E-06
K08081,2.58558E-06
K08737,2.60642E-06
K08969,2.61876E-06
K08354,2.6252E-06
K03200,2.66606E-06
K12854,2.67025E-06
K13795,2.68093E-06
K04790,2.68632E-06
K01597,2.6957E-06
K11474,2.69755E-06
K05898,2.70005E-06
K12409,2.72477E-06
K02145,2.72885E-06
K12690,2.7316E-06
K08965,2.73652E-06
K11016,2.75002E-06
K00207,2.75584E-06
K04103,2.77445E-06
K12990,2.80532E-06
K07013,2.83577E-06
K13181,2.83931E-06
K00186,2.84676E-06
K08967,2.85152E-06
K08857,2.85443E-06
K05708,2.85867E-06
K05681,2.87464E-06
K01857,2.88136E-06
K06937,2.88453E-06
K11384,2.88645E-06
K02312,2.89825E-06
K01674,2.90847E-06
K14091,2.91018E-06
K11533,2.94681E-06
K01477,2.94985E-06
K02591,2.95553E-06
K08479,2.95898E-06
K00255,2.96515E-06
K08153,2.96515E-06
K12309,2.97021E-06
K03862,2.98415E-06
K06888,2.98509E-06
K05711,2.99464E-06
K03342,3.03408E-06
K05615,3.03985E-06
K10560,3.06432E-06
K11357,3.06442E-06
K11181,3.07451E-06
K11626,3.09081E-06
K03195,3.09795E-06
K10199,3.10672E-06
K02596,3.11672E-06
K10705,3.11732E-06
K02486,3.13502E-06
K10796,3.13695E-06
K07302,3.13695E-06
K10794,3.16616E-06
K05351,3.1827E-06
K05550,3.18804E-06
K11920,3.19586E-06
K00539,3.19847E-06
K00446,3.20797E-06
K07096,3.20862E-06
K01054,3.21178E-06
K06136,3.21406E-06
K05603,3.22422E-06
K10008,3.23794E-06
K05344,3.25122E-06
K13571,3.25421E-06
K01103,3.25445E-06
K00900,3.25445E-06
K03740,3.26595E-06
K05713,3.26926E-06
K09859,3.27313E-06
K00457,3.27863E-06
K04757,3.29021E-06
K01725,3.29021E-06
K13598,3.30105E-06
K03693,3.31159E-06
K03381,3.33295E-06
K13678,3.33579E-06
K07442,3.33686E-06
K06610,3.36281E-06
K01053,3.36348E-06
K03895,3.36708E-06
K00051,3.36828E-06
K00689,3.37998E-06
K08734,3.39951E-06
K05616,3.40219E-06
K00412,3.40305E-06
K07268,3.41035E-06
K11080,3.41659E-06
K14264,3.43124E-06
K11005,3.43135E-06
K10954,3.43468E-06
K01789,3.45797E-06
K11008,3.46518E-06
K03203,3.46838E-06
K07503,3.47019E-06
K02597,3.49165E-06
K01498,3.49165E-06
K10562,3.49782E-06
K07353,3.51545E-06
K05877,3.52202E-06
K01576,3.53319E-06
K00044,3.53416E-06
K01452,3.53526E-06
K07004,3.55532E-06
K10120,3.57995E-06
K01565,3.58573E-06
K07768,3.58945E-06
K13527,3.59056E-06
K10018,3.60192E-06
K06609,3.62654E-06
K06122,3.64024E-06
K07693,3.65558E-06
K05569,3.65558E-06
K03201,3.65579E-06
K13245,3.67068E-06
K10899,3.6784E-06
K00049,3.68156E-06
K01780,3.72692E-06
K04479,3.73505E-06
K01215,3.74442E-06
K02609,3.75875E-06
K08178,3.76489E-06
K09716,3.76602E-06
K10021,3.77412E-06
K00841,0.00000379
K00129,3.79071E-06
K00376,3.7933E-06
K05655,3.79782E-06
K09701,3.80292E-06
K02554,3.81617E-06
K06080,3.83041E-06
K08363,3.83041E-06
K01227,3.83667E-06
K00372,3.85028E-06
K09552,3.85095E-06
K01694,3.85695E-06
K02465,3.85919E-06
K07272,3.88095E-06
K09473,3.88391E-06
K07218,3.8914E-06
K00519,3.89588E-06
K10979,3.89709E-06
K02282,3.90521E-06
K03420,3.91155E-06
K05362,3.93245E-06
K10559,3.96218E-06
K11594,3.9679E-06
K05783,3.99435E-06
K02618,3.99748E-06
K06151,4.01215E-06
K12950,4.02452E-06
K07354,4.02847E-06
K07067,4.03326E-06
K13007,4.04172E-06
K12555,4.04727E-06
K04756,4.05952E-06
K11177,4.07362E-06
K13745,4.08102E-06
K01152,4.10937E-06
K11953,4.11078E-06
K09945,4.11721E-06
K02463,4.1393E-06
K01444,4.14365E-06
K10762,4.14782E-06
K10557,4.1526E-06
K02586,4.15392E-06
K01820,4.16315E-06
K07241,4.17173E-06
K13531,4.1987E-06
K03331,4.20716E-06
K04073,4.2158E-06
K07352,4.23328E-06
K10019,4.25982E-06
K12278,4.26412E-06
K07310,4.26414E-06
K02509,4.27143E-06
K03229,4.28528E-06
K13734,4.29172E-06
K00007,4.31819E-06
K09696,4.34511E-06
K02060,4.37028E-06
K08987,4.38696E-06
K06152,4.38728E-06
K06169,4.38885E-06
K03897,4.40368E-06
K03196,4.42504E-06
K02132,4.44435E-06
K05915,4.44456E-06
K03462,4.45584E-06
K05662,4.47532E-06
K05709,4.49198E-06
K00984,4.49537E-06
K03366,4.50351E-06
K12205,4.50775E-06
K14154,4.51084E-06
K02656,4.51707E-06
K07717,4.54955E-06
K05876,4.56605E-06
K13981,4.57884E-06
K14268,4.60009E-06
K14333,4.60234E-06
K11144,4.60948E-06
K01697,4.61032E-06
K10901,4.62915E-06
K00158,4.66408E-06
K05394,4.66705E-06
K08068,4.67788E-06
K09740,4.69983E-06
K03840,4.7009E-06
K11312,4.70893E-06
K02613,4.72342E-06
K09133,4.72598E-06
K07451,4.75122E-06
K08167,4.75251E-06
K01446,4.75312E-06
K05657,4.76999E-06
K12246,4.79129E-06
K05524,4.79695E-06
K01032,4.79705E-06
K01541,4.79721E-06
K08721,4.80101E-06
K12279,4.80222E-06
K14519,4.81388E-06
K08687,4.82974E-06
K09809,4.83198E-06
K11631,4.83683E-06
K01263,4.84405E-06
K05823,4.84719E-06
K12995,4.87642E-06
K06446,4.88382E-06
K11003,4.91083E-06
K03222,4.91168E-06
K02550,4.9432E-06
K07535,4.95475E-06
K02531,4.95768E-06
K10783,4.96882E-06
K03739,5.0014E-06
K11922,5.04895E-06
K11614,5.05912E-06
K01509,5.10239E-06
K10561,5.12493E-06
K09980,5.15171E-06
K13819,5.16748E-06
K13607,5.18388E-06
K11147,5.20943E-06
K05772,5.21502E-06
K10764,5.21861E-06
K00863,5.22607E-06
K03414,5.22872E-06
K00386,5.24042E-06
K02565,5.24724E-06
K02415,5.25036E-06
K09472,5.2604E-06
K13936,5.27127E-06
K09805,5.30335E-06
K09764,5.3466E-06
K03464,5.3466E-06
K08346,5.38559E-06
K10708,5.42832E-06
K07570,5.4503E-06
K03197,5.48143E-06
K02476,5.49949E-06
K02147,5.50955E-06
K00249,5.52289E-06
K06236,5.52625E-06
K10780,5.53506E-06
K10122,5.55335E-06
K11618,5.57728E-06
K14587,5.57728E-06
K07151,5.58174E-06
K03919,5.59322E-06
K02660,5.59418E-06
K00141,5.60681E-06
K07233,5.6239E-06
K00449,5.6253E-06
K07785,5.62781E-06
K08364,5.64037E-06
K03928,5.64848E-06
K04092,5.69405E-06
K09902,5.70304E-06
K07081,5.73443E-06
K01968,5.74393E-06
K01044,5.75736E-06
K11788,5.77269E-06
K11477,5.77538E-06
K01132,5.81328E-06
K01036,5.82795E-06
K08972,5.83154E-06
K03285,5.84394E-06
K12211,5.85623E-06
K03228,5.85779E-06
K04338,5.85908E-06
K00961,5.93331E-06
K09961,5.94485E-06
K13654,5.95526E-06
K12214,5.95808E-06
K12227,5.95808E-06
K00462,5.96127E-06
K00253,6.01985E-06
K00484,6.03852E-06
K12071,6.04503E-06
K07778,6.04692E-06
K05784,6.06528E-06
K10795,6.07608E-06
K03727,6.10882E-06
K02750,6.11833E-06
K13525,6.13523E-06
K05372,6.14305E-06
K01199,6.14557E-06
K07344,6.23126E-06
K13633,6.23382E-06
K06892,6.23525E-06
K01474,6.2379E-06
K08693,6.24296E-06
K08345,6.25334E-06
K03403,6.25492E-06
K08195,6.30315E-06
K07719,6.33585E-06
K09984,6.33672E-06
K07490,6.33672E-06
K10530,6.34403E-06
K08956,6.34798E-06
K03829,6.41592E-06
K12554,6.41625E-06
K13530,6.42195E-06
K01856,6.47265E-06
K14571,6.47336E-06
K14056,6.4781E-06
K00276,6.49529E-06
K06938,6.49713E-06
K00856,6.50221E-06
K14048,6.54501E-06
K02670,6.56715E-06
K08347,6.57802E-06
K03226,6.6158E-06
K00752,6.63678E-06
K02787,6.66068E-06
K02788,6.66068E-06
K09118,6.67339E-06
K01031,6.69835E-06
K11244,6.72739E-06
K05571,6.74103E-06
K07683,6.7938E-06
K08150,6.8306E-06
K11517,6.83095E-06
K05601,6.84837E-06
K05358,6.85791E-06
K07506,6.87342E-06
K08349,6.89835E-06
K01729,6.90594E-06
K06922,6.90766E-06
K03970,6.93613E-06
K01618,6.96663E-06
K07389,6.97161E-06
K10826,7.02796E-06
K03227,7.03092E-06
K00288,7.07485E-06
K11004,7.08848E-06
K02612,7.10446E-06
K00329,7.10665E-06
K02508,7.11057E-06
K07786,7.15681E-06
K13928,7.16084E-06
K02663,7.17832E-06
K12269,7.22255E-06
K01219,7.23603E-06
K09930,7.26273E-06
K01965,7.26631E-06
K10833,7.26868E-06
K07119,7.27945E-06
K02587,7.29375E-06
K01721,7.3099E-06
K05818,7.31699E-06
K01281,7.34237E-06
K07021,7.40389E-06
K07469,7.40709E-06
K04752,7.41287E-06
K07706,7.41494E-06
K09917,7.43875E-06
K00448,7.47486E-06
K12500,7.49145E-06
K01274,7.50106E-06
K06384,7.53132E-06
K10556,7.53652E-06
K01342,7.54275E-06
K01128,7.55774E-06
K09126,7.57626E-06
K08358,7.58728E-06
K10218,7.59201E-06
K08352,7.59277E-06
K09703,7.59913E-06
K04781,7.60274E-06
K02585,7.60506E-06
K07445,7.62738E-06
K00293,7.70311E-06
K08986,7.71857E-06
K09958,7.72512E-06
K10555,7.73408E-06
K03540,7.76393E-06
K11531,7.76986E-06
K06883,7.83092E-06
K13483,7.93745E-06
K11334,7.96081E-06
K13252,8.00098E-06
K10709,8.03479E-06
K00054,8.06555E-06
K02623,8.12238E-06
K13677,8.12444E-06
K06121,8.13531E-06
K07705,8.16369E-06
K00529,8.1946E-06
K05819,8.21225E-06
K12657,8.21844E-06
K09960,8.23908E-06
K14138,8.24025E-06
K03367,8.28232E-06
K08651,8.36654E-06
K03230,8.3672E-06
K07512,8.37318E-06
K11630,8.37585E-06
K03119,8.37732E-06
K05712,8.38472E-06
K00455,8.43306E-06
K09141,8.43347E-06
K13787,8.44068E-06
K01415,8.47032E-06
K10006,8.47115E-06
K14205,8.47494E-06
K03863,8.47545E-06
K03279,8.49275E-06
K03481,8.5092E-06
K09470,8.56278E-06
K10939,8.6421E-06
K02616,8.67283E-06
K09929,8.67765E-06
K11153,8.72532E-06
K03618,8.73762E-06
K03409,8.77854E-06
K00055,8.79185E-06
K00038,8.79193E-06
K05967,8.79705E-06
K02424,8.84078E-06
K11930,8.85275E-06
K11263,8.85809E-06
K02538,8.88366E-06
K10121,8.88623E-06
K00737,8.89474E-06
K09880,8.90214E-06
K02479,8.91004E-06
K00886,8.93768E-06
K04337,8.94069E-06
K14430,8.96196E-06
K06036,9.02934E-06
K09024,9.04844E-06
K01671,9.05759E-06
K07401,9.05784E-06
K03275,9.09788E-06
K11908,9.11482E-06
K09932,9.11962E-06
K01473,0.000009121
K13921,9.13145E-06
K07219,9.13288E-06
K07317,9.1496E-06
K06990,9.18481E-06
K02482,9.19337E-06
K08093,9.21358E-06
K10682,9.22963E-06
K03893,9.24275E-06
K03224,9.31808E-06
K08260,9.3655E-06
K10242,9.3779E-06
K02844,9.39358E-06
K08276,9.44595E-06
K03645,9.45311E-06
K05992,9.47667E-06
K03302,9.49732E-06
K11472,9.49835E-06
K11540,9.57275E-06
K04786,9.58895E-06
K10906,9.64638E-06
K07326,9.70735E-06
K02808,9.74112E-06
K00836,9.74155E-06
K13727,9.83906E-06
K13919,9.86092E-06
K01590,9.86905E-06
K10230,9.8816E-06
K01318,9.90572E-06
K11736,9.94842E-06
K01003,9.9634E-06
K02802,9.98329E-06
K05972,9.98567E-06
K01157,9.98769E-06
K08679,1.00069E-05
K07250,1.00216E-05
K09786,1.00243E-05
K13794,1.00362E-05
K02425,1.00494E-05
K02291,1.00593E-05
K01797,1.0072E-05
K04025,1.00824E-05
K07276,1.01903E-05
K09912,1.02068E-05
K07177,1.0221E-05
K08478,1.02233E-05
K00183,1.02347E-05
K08151,1.02354E-05
K11264,1.02384E-05
K03288,1.02774E-05
K14087,1.02798E-05
K04035,1.02938E-05
K13041,1.02983E-05
K07795,1.03398E-05
K00992,1.03433E-05
K08253,1.0357E-05
K03199,1.03761E-05
K05779,1.04102E-05
K02610,1.04881E-05
K05567,1.04949E-05
K07129,1.04954E-05
K04335,1.05282E-05
K02525,1.05408E-05
K13301,1.05838E-05
K14052,1.05913E-05
K03283,1.06547E-05
K04021,1.06645E-05
K05607,1.06844E-05
K00368,1.06884E-05
K07780,1.07026E-05
K05886,1.07651E-05
K14090,1.07963E-05
K14060,1.08025E-05
K07807,1.083E-05
K11214,1.08965E-05
K06184,1.08991E-05
K00264,1.09041E-05
K12998,1.0933E-05
K09934,1.09708E-05
K08365,1.09722E-05
K05683,1.09831E-05
K03332,1.09935E-05
K14267,1.09967E-05
K05606,1.10134E-05
K00132,1.10237E-05
K10673,1.10406E-05
K07784,1.10594E-05
K02814,1.10637E-05
K04076,1.1088E-05
K11740,1.11032E-05
K00517,1.111E-05
K04835,1.11187E-05
K04334,1.11557E-05
K02204,1.11894E-05
K10007,1.11974E-05
K13930,1.11981E-05
K07639,1.12093E-05
K09695,1.12204E-05
K00385,1.12402E-05
K13590,1.1253E-05
K01236,1.12626E-05
K05594,1.13712E-05
K01699,1.1386E-05
K13927,1.13866E-05
K13655,1.14026E-05
K13933,1.14797E-05
K10771,1.15036E-05
K11735,1.1542E-05
K11739,1.1549E-05
K11084,1.15934E-05
K02511,1.16218E-05
K08318,1.1628E-05
K00492,1.16324E-05
K10697,1.16609E-05
K07707,1.16714E-05
K06045,1.16771E-05
K10009,1.16886E-05
K11192,1.1713E-05
K11191,1.1713E-05
K02485,1.17199E-05
K05374,1.17261E-05
K07300,1.17896E-05
K07066,1.17943E-05
K01561,1.17964E-05
K08476,1.18381E-05
K04063,1.18628E-05
K03810,1.18702E-05
K04783,1.19272E-05
K12265,1.19365E-05
K10900,1.19461E-05
K07156,1.19492E-05
K04784,1.19493E-05
K07224,1.20464E-05
K12072,1.21358E-05
K10537,1.21427E-05
K11211,1.21894E-05
K13019,1.21905E-05
K13931,1.22497E-05
K11711,1.22676E-05
K07453,1.22786E-05
K08997,1.23063E-05
K07350,1.23169E-05
K06391,1.23485E-05
K08324,1.23499E-05
K06120,1.23624E-05
K11073,1.23782E-05
K04086,1.23954E-05
K05710,1.24248E-05
K00116,1.24597E-05
K13381,1.24708E-05
K07113,1.24717E-05
K02393,1.25235E-05
K09992,1.25313E-05
K10558,1.25457E-05
K00355,1.25803E-05
K12660,1.2588E-05
K06019,1.26162E-05
K13015,1.2618E-05
K13684,1.26189E-05
K10793,1.26198E-05
K13683,1.26245E-05
K05881,1.26384E-05
K12985,1.26588E-05
K11909,1.26756E-05
K06995,1.27258E-05
K07811,1.27282E-05
K09456,1.27895E-05
K06979,1.27915E-05
K08319,1.27964E-05
K02846,1.28163E-05
K10711,1.28418E-05
K10800,1.28742E-05
K02074,1.29222E-05
K11041,1.29258E-05
K03791,1.29368E-05
K14061,1.29464E-05
K02679,1.29525E-05
K13529,1.29679E-05
K07810,1.30184E-05
K12661,1.3093E-05
K04785,1.31879E-05
K14127,1.32061E-05
K05884,1.32123E-05
K00299,1.32524E-05
K07340,1.32973E-05
K07051,1.33266E-05
K03079,1.33284E-05
K06884,1.33318E-05
K06445,1.33479E-05
K11530,1.3352E-05
K07311,1.33697E-05
K07181,1.34461E-05
K07536,1.34575E-05
K10213,1.35179E-05
K02749,1.35621E-05
K01355,1.36105E-05
K02850,1.36125E-05
K06191,0.000013619
K08225,1.36191E-05
K05020,1.36445E-05
K13918,1.36842E-05
K05687,1.37129E-05
K09688,1.37268E-05
K05789,1.37652E-05
K02589,1.37671E-05
K10538,1.37751E-05
K00322,1.38018E-05
K12141,1.38058E-05
K02450,1.38133E-05
K00675,1.39069E-05
K13013,1.39846E-05
K08320,1.39974E-05
K11732,1.40073E-05
K09020,1.40475E-05
K03619,1.40637E-05
K05777,1.40903E-05
K00109,1.41101E-05
K01210,1.41353E-05
K08351,1.41366E-05
K09968,1.41867E-05
K09162,1.42294E-05
K02506,1.42475E-05
K01668,1.42486E-05
K06141,1.42559E-05
K04062,1.42576E-05
K03208,1.42951E-05
K07470,1.43127E-05
K10985,1.43422E-05
K09144,1.435E-05
K10094,1.43672E-05
K01906,1.44168E-05
K05798,1.44621E-05
K13932,1.44626E-05
K11784,1.44713E-05
K12684,1.44829E-05
K13581,1.44865E-05
K07245,1.44872E-05
K13953,1.45031E-05
K03652,1.45228E-05
K03636,1.45919E-05
K06378,1.46112E-05
K07122,1.46369E-05
K00612,1.46797E-05
K06447,1.4693E-05
K07686,1.46957E-05
K07772,1.47384E-05
K02336,1.47613E-05
K13566,1.47649E-05
K00483,1.47816E-05
K00643,1.48082E-05
K12507,1.4855E-05
K01948,1.48681E-05
K02854,1.48704E-05
K05373,1.48756E-05
K01046,1.49034E-05
K04750,1.49462E-05
K12262,1.49756E-05
K06333,1.49808E-05
K05778,1.49962E-05
K12152,1.50028E-05
K01408,1.5006E-05
K02572,1.50164E-05
K01457,1.50469E-05
K10975,1.50611E-05
K08314,1.51039E-05
K05780,1.51255E-05
K04022,1.51438E-05
K00823,1.51512E-05
K11615,1.51541E-05
K06013,1.51588E-05
K02442,1.51886E-05
K08475,1.52096E-05
K07132,1.52159E-05
K01369,1.5222E-05
K04775,1.52286E-05
K07643,1.52421E-05
K09684,1.52568E-05
K03533,1.52573E-05
K09778,1.53259E-05
K00366,1.53439E-05
K07701,1.53454E-05
K11738,1.53528E-05
K02658,1.5363E-05
K12518,1.53847E-05
K07390,1.53852E-05
K13021,1.53854E-05
K07592,1.54142E-05
K05836,1.54228E-05
K11708,1.54415E-05
K01220,1.54468E-05
K09707,1.54784E-05
K05245,1.5504E-05
K07266,1.55241E-05
K08173,1.55359E-05
K08326,1.55471E-05
K13940,1.55561E-05
K13069,1.55631E-05
K04033,1.55992E-05
K05339,1.56151E-05
K11616,1.56391E-05
K00098,1.56505E-05
K07309,1.56705E-05
K00709,1.56819E-05
K02167,1.56867E-05
K12137,1.56894E-05
K02547,1.57423E-05
K03974,1.57722E-05
K05903,1.58679E-05
K11473,1.58762E-05
K07660,1.58829E-05
K04771,1.58874E-05
K00534,0.000015932
K01096,1.59361E-05
K00151,1.59508E-05
K00673,1.59541E-05
K12140,1.59681E-05
K08162,1.59788E-05
K05969,1.60114E-05
K03532,1.60301E-05
K07281,1.60303E-05
K12299,1.60308E-05
K02753,1.604E-05
K02752,1.604E-05
K01908,1.60699E-05
K06415,1.6083E-05
K03190,1.60993E-05
K13640,1.61112E-05
K00332,1.61259E-05
K03187,0.000016198
K02402,1.62014E-05
K09712,1.62061E-05
K12142,1.62119E-05
K13894,1.62664E-05
K03194,1.63268E-05
K04020,1.63334E-05
K05522,1.63596E-05
K08297,1.63744E-05
K07225,1.63949E-05
K03364,1.63977E-05
K07251,1.64168E-05
K07083,1.64187E-05
K04885,1.64461E-05
K00810,1.64505E-05
K12143,1.65559E-05
K06605,1.65566E-05
K01758,1.65685E-05
K10011,1.65856E-05
K11933,1.65858E-05
K11216,1.66036E-05
K12685,1.66166E-05
K09975,1.66228E-05
K13016,1.66373E-05
K08308,1.6643E-05
K05984,1.66484E-05
K13540,1.66716E-05
K09928,1.67296E-05
K13929,1.67473E-05
K02182,1.68011E-05
K07704,1.6827E-05
K13497,1.68463E-05
K08298,1.69355E-05
K06078,1.69465E-05
K03819,1.69828E-05
K05658,1.69933E-05
K06317,1.70152E-05
K00801,1.7017E-05
K03583,1.70266E-05
K05887,1.70373E-05
K01959,1.70377E-05
K10107,1.71262E-05
K12138,1.7149E-05
K11152,1.71612E-05
K13620,1.71908E-05
K14287,1.71939E-05
K13920,1.72224E-05
K11935,1.72278E-05
K00441,1.7232E-05
K06159,1.72331E-05
K02172,1.72466E-05
K07314,1.72802E-05
K13893,1.72979E-05
K01483,1.73012E-05
K03477,1.73168E-05
K05811,1.73496E-05
K07757,1.74668E-05
K01598,1.74773E-05
K05839,1.74811E-05
K04561,1.749E-05
K12523,1.74909E-05
K02301,1.75099E-05
K04046,1.75353E-05
